id,title,release_date,recent_reviews,all_reviews,price,developers,number_languages,compatible_os,tags
1677180,Neko Hacker Plus,"20 Sep, 2021","['80', '26']","['80', '26']","['2,39']",['Axyos Games'],1,1,"['Nudity', 'NSFW', 'Cute', 'Puzzle', 'Anime', 'Casual', 'SexualContent', 'Simulation', 'Logic', 'Relaxing', '2D', 'FemaleProtagonist', '3D', 'Mystery', 'Modern', 'Singleplayer', 'ThirdPerson', 'CharacterActionGame', 'CharacterCustomization', 'Exploration']"
45100,Secret of the Magic Crystals,"3 Feb, 2010","['80', '635']","['80', '635']","['4,99']",['Artery Games'],6,3,"['TimeManagement', 'Management', 'Crafting', 'FarmingSim', 'Action-Adventure', 'CharacterCustomization', 'Strategy', 'Cute', '3D', 'Historical', 'Horses', 'LGBTQ+', 'Casual', 'Simulation', 'Cartoony', 'Colorful', 'Stylized', 'FamilyFriendly', 'Magic', 'Fantasy']"
982700,Space Battle VR,"14 Dec, 2018","['68', '73']",,"['9,99']",['Raba Games'],9,1,"['Action', 'Indie', 'Space', 'VR', 'Flight', 'First-Person', 'Sci-fi', 'SpaceSim', 'Exploration', 'Atmospheric', 'Shooter', 'Simulation', 'Singleplayer', 'OpenWorld', 'Physics', 'EarlyAccess', 'Adventure', 'Sandbox', 'Violent', 'Realistic']"
1608270,FILMECHANISM,"15 Dec, 2021","['100', '10']","['100', '10']","['16,79']",['Chemical Pudding'],9,1,"['PuzzlePlatformer', 'Puzzle', 'Cute', 'Action', 'Casual', 'PixelGraphics', 'Retro', 'Singleplayer', 'Indie']"
1796630,sCATch: The Painter Cat,"19 Nov, 2021","['100', '18']","['100', '18']",,['Colossus Game Studio'],2,1,"['Strategy', 'Cute', 'Casual', 'Cats', 'Puzzle', 'Relaxing', 'PixelGraphics', 'Grid-BasedMovement', '2D', 'Arcade', 'Indie', '2DPlatformer', 'FamilyFriendly', 'Stealth', 'Controller', 'Singleplayer']"
1755870,The Monster Within,"22 Oct, 2021","['86', '23']","['86', '23']","['12,49']",['GMO Free Games'],1,2,"['Strategy', 'CardGame', 'Deckbuilding', 'Singleplayer', 'Roguelite', 'ComicBook', '2D', 'Horror', 'Hand-drawn', 'Stylized', 'EarlyAccess', 'Indie', 'Class-Based', 'Comedy', 'Vampire', 'Supernatural']"
743390,DISTRAINT 2,"13 Nov, 2018","['98', '61', '30']","['96', '2,026']","['7,39']",['Jesse Makkonen'],13,1,"['PsychologicalHorror', 'StoryRich', 'Atmospheric', '2D', 'SideScroller', 'Horror', 'Emotional', 'Adventure', 'Narration', 'Indie', 'PixelGraphics', 'Psychological', 'Dark', 'Mystery', 'Singleplayer', 'DarkHumor', 'Gore', 'Linear', 'WalkingSimulator', 'Stylized']"
844590,Hypnospace Outlaw,"12 Mar, 2019","['98', '60', '30']","['97', '2,006']","['16,79']","['Tendershoot', 'Michael Lasch', 'ThatWhichIs Media']",1,3,"['Simulation', ""1990's"", 'Point&Click', 'Retro', 'Surreal', 'AlternateHistory', 'Detective', 'GreatSoundtrack', 'Indie', 'Singleplayer', 'Atmospheric', 'Funny', 'StoryRich', 'Puzzle', 'Psychedelic', 'Adventure', 'Mystery', 'InteractiveFiction', 'Psychological', 'Fantasy']"
1379840,Run Dummy Run,"11 Aug, 2020","['90', '11']","['90', '11']","['0,79']","['Repa Games', 'ImperiumGame']",1,1,"['SideScroller', 'PrecisionPlatformer', 'Rhythm', 'Difficult', 'Platformer', 'Arcade', '2D', 'Funny', 'FamilyFriendly', 'Casual', 'Colorful', 'Action', 'Adventure', 'Singleplayer', 'Indie', 'Music', 'Soundtrack', '2DPlatformer', 'Runner', 'PermaDeath']"
996180,Cryptofall: Investor simulator,"20 Apr, 2020","['95', '21']","['95', '21']","['3,99']",['Black Deck Crew'],2,3,"['Simulation', 'Strategy', 'Indie', 'Casual', 'Trading']"
230650,Lords of Football,"5 Apr, 2013","['50', '251']",,"['14,99']",['Geniaware Srl'],7,1,"['Sports', 'Simulation', 'Strategy', 'Indie', 'Football', 'Soccer', 'Management']"
1576970,The Lost King of Avallon,"2 Nov, 2021","['66', '12']",,"['12,49']",['Freeline Games GmbH'],3,3,"['EarlyAccess', 'TacticalRPG', 'Turn-BasedCombat', 'Strategy', 'Medieval', 'RPG', 'OpenWorld', 'Sandbox', 'Turn-BasedStrategy', 'ReplayValue', 'Roguelite', 'ProceduralGeneration', 'ChoicesMatter', 'Tactical', 'PermaDeath', 'Fantasy', 'Turn-BasedTactics', 'CharacterCustomization', '2D', 'CRPG']"
1525890,Death Park 2,"24 Feb, 2021","['92', '85']","['92', '85']","['4,99']",['Euphoria Games'],18,1,"['Adventure', 'Action', 'Puzzle', 'Arcade', 'Exploration', 'HiddenObject', 'Horror', 'SurvivalHorror', 'FPS', 'First-Person', 'Dark', 'PsychologicalHorror', 'Indie', 'Singleplayer', 'Blood', 'Gore', 'Violent', 'ReplayValue', 'Difficult']"
